timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1592058153457,149,UpdateIssueRedmine,204,No Content,bzm - Concurrency Thread Group-ThreadStarter 1-3,,true,,928,354,4,4,http://localhost:8081/issues/419.json,0,0,0
1592058153485,160,DeleteIssueRedmine,204,No Content,bzm - Concurrency Thread Group-ThreadStarter 1-2,,true,,511,246,4,4,http://localhost:8081/issues/417.json,0,0,0
1592058153522,177,GetListIssuesRedmine,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13397,159,4,4,http://localhost:8081/issues.json,177,0,1
1592058153550,174,DeleteIssueRedmine,204,No Content,bzm - Concurrency Thread Group-ThreadStarter 1-4,,true,,511,246,4,4,http://localhost:8081/issues/418.json,0,0,0
1592058153607,142,DeleteIssueRedmine,204,No Content,bzm - Concurrency Thread Group-ThreadStarter 1-3,,true,,511,246,4,4,http://localhost:8081/issues/419.json,0,0,0
1592058153646,167,GetListIssuesRedmine,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,13423,159,4,4,http://localhost:8081/issues.json,167,0,1
1592058153699,150,CreateIssueRedmine,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,1197,428,4,4,http://localhost:8081/issues.json,150,0,0
1592058153724,191,GetListIssuesRedmine,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-4,text,true,,13398,159,6,6,http://localhost:8081/issues.json,191,0,1
1592058153750,219,GetListIssuesRedmine,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-3,text,true,,13398,159,6,6,http://localhost:8081/issues.json,219,0,0
1592058153814,200,CreateIssueRedmine,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,1197,428,6,6,http://localhost:8081/issues.json,200,0,0
1592058153849,199,GetIssueRedmine,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,1185,163,6,6,http://localhost:8081/issues/420.json,199,0,0
1592058153894,209,GetListIssuesRedmine,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-6,text,true,,13373,159,6,6,http://localhost:8081/issues.json,209,0,0
